sku,retail_price,item_title,inserted_at,store_code,availability
sku,retail_price,item_title,inserted_at,store_code,availability
079817,2.99,"Garlic Butter Irish Potato Chips","2025-06-03 00:00:07",546,0
090460,5.49,"BBQ Chicken Pizza","2025-06-03 00:00:07",546,1
094889,2.99,"Golden Rounds Crackers","2025-06-03 00:00:07",546,1
031883,13.99,"Cambozola® Triple Cream Cheese","2025-06-03 00:00:07",546,1
095426,3.99,"Sharp Cheddar Cheese Cracker Cuts","2025-06-03 00:00:07",546,1
095281,3.99,"Raisin Rosemary Crisps","2025-06-03 00:00:07",546,1
078103,3.49,"Tom Yum Seasoned Snack Mix","2025-06-03 00:00:07",546,1
080929,4.49,"Springle Jangle for Dogs","2025-06-03 00:00:07",546,1
053743,4.99,"Gold Aceto Balsamico Di Modena","2025-06-03 00:00:07",546,1
058036,2.49,"Balsamic Vinegar of Modena","2025-06-03 00:00:07",546,1
079862,4.99,"Passion Fruit Meringue Tartelettes","2025-06-03 00:00:07",546,0
080347,2.99,"Celebration Cake Pretzels","2025-06-03 00:00:07",546,0
058033,9.99,"Seasonal Bouquet","2025-06-03 00:00:07",546,1
064499,4.99,"Strawberry Mochi","2025-06-03 00:00:07",546,1
078733,5.99,"Spanish Inspired Charcuteria","2025-06-03 00:00:07",546,1
081108,6.99,"Jelly Bean Flavored Lip Duo","2025-06-03 00:00:07",546,0
077616,1.19,"Energy Bar Peanut Butter","2025-06-03 00:00:07",546,1
079753,4.99,"Caro Sugo Italian Tomato Basil Pasta Sauce","2025-06-03 00:00:07",546,1
077618,1.19,"Energy Bar Chocolate Chip","2025-06-03 00:00:07",546,1
086863,4.99,"Uncured Black Forest Ham","2025-06-03 00:00:07",546,1
079516,2.99,"Seville Orange Marmalade Fruit Spread","2025-06-03 00:00:07",546,0
077977,4.99,"Macaron Ice Cream Sandwiches","2025-06-03 00:00:07",546,0
081073,3.99,"Easter Joe-Joe's","2025-06-03 00:00:07",546,0
079970,4.49,"Lemon Poppy Seed Buns","2025-06-03 00:00:07",546,1
